Reporte de Eventos Universitarios - Wed Sep 24 22:45:44 CLST 2025

ID;Nombre;Tipo;Fecha;Hora;Sala;Capacidad;Asistentes;Recursos
E101;Charla de Inteligencia Artificial;charla;2025-09-05;11:00;B-201;50;3;3
E102;Taller de Git y GitHub;taller;2025-09-07;16:00;Lab-3;25;2;3
E103;Seminario de Visualización de Datos;seminario;2025-09-12;10:00;Auditorio;120;2;3
E104;Concierto de Música Clásica;cultural;2025-09-15;19:00;Auditorio;200;2;2
E105;Exposición de Arte Contemporáneo;cultural;2025-09-20;15:00;Galería;80;2;0
E106;Workshop de Robótica;taller;2025-09-25;14:00;Lab-4;30;2;2
E107;Conferencia de Cybersecurity;conferencia;2025-10-02;09:00;A-101;100;2;4
E108;Presentación de Proyectos Finales;exposicion;2025-10-10;13:00;Hall Principal;150;2;1
E109;Debate sobre Ética en IA;debate;2025-10-15;16:30;Sala de Usos Múltiples;40;2;1
E110;Feria de Emprendimiento;feria;2025-10-20;10:00;Patio Central;300;2;1
E111;Ceremonia de Graduación;ceremonia;2025-11-05;18:00;Auditorio Principal;500;0;0
E112;Maratón de Programación;competencia;2025-11-12;09:00;Lab-5;50;3;2
E113;Charla de Innovación Tecnológica;charla;2025-11-18;15:00;B-302;60;2;3
E114;Festival de Cine;cultural;2025-11-25;19:00;Sala de Proyecciones;80;2;2
E115;Simposio de Investigación;academico;2025-12-02;10:00;Auditorio;200;4;2


Total de eventos: 15
